id,question,answer,company,role,difficulty,category
29,What is the importance of ci/cd in DevOps?,"CI/CD stands for Continuous Integration and Continuous Deployment/Delivery. CI involves automatically building and testing code changes, while CD automates deploying code to production. Tools like Jenkins, GitHub Actions, GitLab CI, and CircleCI streamline this process.",Amazon,DevOps,Situation Based,CI/CD
30,What is the importance of build tools in DevOps?,"Build tools like Maven, Gradle, and Make automate compiling code, managing dependencies, and packaging artifacts. They integrate into CI pipelines to streamline delivery workflows.",Infosys,DevOps,Easy,Build Tools
31,What is the importance of docker in DevOps?,"Docker is a containerization platform that packages applications with dependencies into portable containers. It helps ensure consistency across development and production environments. Dockerfiles define how images are built, and Docker Compose manages multi-container setups.",Amazon,DevOps,Medium,Docker
32,What is the importance of networking basics in DevOps?,"Networking is critical for understanding container communication, DNS resolution, ports, firewalls, and load balancing. Knowledge of TCP/IP, HTTP, NAT, and VPNs is essential for DevOps roles.",Infosys,DevOps,Hard,Networking Basics
33,What is the importance of networking basics in DevOps?,"Networking is critical for understanding container communication, DNS resolution, ports, firewalls, and load balancing. Knowledge of TCP/IP, HTTP, NAT, and VPNs is essential for DevOps roles.",Google,DevOps,Hard,Networking Basics
34,What is the importance of git & version control in DevOps?,"Git is a distributed version control system that tracks code changes. It supports branching, merging, and collaboration. Platforms like GitHub, GitLab, and Bitbucket integrate with CI/CD pipelines.",Microsoft,DevOps,Situation Based,Git & Version Control
35,What is the importance of security in devops in DevOps?,"DevSecOps integrates security practices into DevOps workflows. This includes secrets management (Vault, AWS KMS), vulnerability scanning (Snyk, Aqua), and security as code through automated compliance checks.",TCS,DevOps,Situation Based,Security in DevOps
36,What is the importance of ci/cd in DevOps?,"CI/CD stands for Continuous Integration and Continuous Deployment/Delivery. CI involves automatically building and testing code changes, while CD automates deploying code to production. Tools like Jenkins, GitHub Actions, GitLab CI, and CircleCI streamline this process.",Google,DevOps,Easy,CI/CD
37,What is the importance of disaster recovery & backups in DevOps?,"Disaster recovery plans include backup strategies, failover mechanisms, and RTO/RPO definitions. DevOps ensures regular backups (e.g., via S3, rsync), replication, and automated restoration procedures.",Meta,DevOps,Hard,Disaster Recovery & Backups
38,What is the importance of kubernetes in DevOps?,"Kubernetes is a container orchestration platform that automates the deployment, scaling, and management of containerized applications. It supports rolling updates, self-healing, service discovery, and resource monitoring using YAML-based configurations.",Google,DevOps,Hard,Kubernetes
39,What is the importance of configuration management in DevOps?,"Configuration management tools like Ansible, Puppet, and Chef automate the setup of software environments. They ensure consistency, reduce manual errors, and support rapid infrastructure deployment.",Amazon,DevOps,Medium,Configuration Management
40,What is the importance of container orchestration in DevOps?,"Container orchestration involves managing clusters of containers. Kubernetes and Docker Swarm automate container deployment, health checks, autoscaling, and service discovery across nodes.",Meta,DevOps,Situation Based,Container Orchestration
41,What is the importance of git & version control in DevOps?,"Git is a distributed version control system that tracks code changes. It supports branching, merging, and collaboration. Platforms like GitHub, GitLab, and Bitbucket integrate with CI/CD pipelines.",Infosys,DevOps,Medium,Git & Version Control
42,What is the importance of load balancing in DevOps?,"Load balancing distributes network traffic across multiple servers to ensure reliability and performance. Tools like NGINX, HAProxy, and AWS ELB support round-robin, IP-hash, and least-connections strategies.",Infosys,DevOps,Situation Based,Load Balancing
43,What is the importance of monitoring and logging in DevOps?,"Monitoring tracks system performance, while logging records system events and errors. Tools like Prometheus, Grafana, ELK stack (Elasticsearch, Logstash, Kibana), and Datadog help detect issues, alert teams, and support troubleshooting.",Meta,DevOps,Situation Based,Monitoring and Logging
44,What is the importance of infrastructure as code (iac) in DevOps?,"IaC allows infrastructure to be provisioned and managed using code instead of manual processes. Tools like Terraform and AWS CloudFormation define infrastructure declaratively. This improves repeatability, scalability, and version control.",Amazon,DevOps,Medium,Infrastructure as Code (IaC)
45,What is the importance of git & version control in DevOps?,"Git is a distributed version control system that tracks code changes. It supports branching, merging, and collaboration. Platforms like GitHub, GitLab, and Bitbucket integrate with CI/CD pipelines.",Meta,DevOps,Hard,Git & Version Control
46,What is the importance of system design for devops in DevOps?,"System design in DevOps focuses on scalability, fault tolerance, high availability, and observability. Engineers must consider traffic patterns, SLAs, and recovery strategies when designing production systems.",Google,DevOps,Medium,System Design for DevOps
47,What is the importance of container orchestration in DevOps?,"Container orchestration involves managing clusters of containers. Kubernetes and Docker Swarm automate container deployment, health checks, autoscaling, and service discovery across nodes.",Google,DevOps,Situation Based,Container Orchestration
48,What is the importance of cloud platforms in DevOps?,"Cloud platforms like AWS, Azure, and GCP offer scalable infrastructure and services. DevOps engineers use cloud tools for compute, storage, networking, CI/CD pipelines, and security management.",Microsoft,DevOps,Hard,Cloud Platforms
49,What is the importance of monitoring and logging in DevOps?,"Monitoring tracks system performance, while logging records system events and errors. Tools like Prometheus, Grafana, ELK stack (Elasticsearch, Logstash, Kibana), and Datadog help detect issues, alert teams, and support troubleshooting.",Google,DevOps,Situation Based,Monitoring and Logging
50,What is the importance of cloud platforms in DevOps?,"Cloud platforms like AWS, Azure, and GCP offer scalable infrastructure and services. DevOps engineers use cloud tools for compute, storage, networking, CI/CD pipelines, and security management.",Amazon,DevOps,Hard,Cloud Platforms
51,What is the importance of monitoring and logging in DevOps?,"Monitoring tracks system performance, while logging records system events and errors. Tools like Prometheus, Grafana, ELK stack (Elasticsearch, Logstash, Kibana), and Datadog help detect issues, alert teams, and support troubleshooting.",Meta,DevOps,Hard,Monitoring and Logging
52,What is the importance of cloud platforms in DevOps?,"Cloud platforms like AWS, Azure, and GCP offer scalable infrastructure and services. DevOps engineers use cloud tools for compute, storage, networking, CI/CD pipelines, and security management.",Meta,DevOps,Easy,Cloud Platforms
53,What is the importance of system design for devops in DevOps?,"System design in DevOps focuses on scalability, fault tolerance, high availability, and observability. Engineers must consider traffic patterns, SLAs, and recovery strategies when designing production systems.",TCS,DevOps,Hard,System Design for DevOps
54,What is the importance of container orchestration in DevOps?,"Container orchestration involves managing clusters of containers. Kubernetes and Docker Swarm automate container deployment, health checks, autoscaling, and service discovery across nodes.",Infosys,DevOps,Hard,Container Orchestration
55,What is the importance of cloud platforms in DevOps?,"Cloud platforms like AWS, Azure, and GCP offer scalable infrastructure and services. DevOps engineers use cloud tools for compute, storage, networking, CI/CD pipelines, and security management.",Microsoft,DevOps,Easy,Cloud Platforms
56,What is the importance of system design for devops in DevOps?,"System design in DevOps focuses on scalability, fault tolerance, high availability, and observability. Engineers must consider traffic patterns, SLAs, and recovery strategies when designing production systems.",Infosys,DevOps,Situation Based,System Design for DevOps
57,What is the importance of networking basics in DevOps?,"Networking is critical for understanding container communication, DNS resolution, ports, firewalls, and load balancing. Knowledge of TCP/IP, HTTP, NAT, and VPNs is essential for DevOps roles.",Microsoft,DevOps,Easy,Networking Basics
58,What is the importance of infrastructure as code (iac) in DevOps?,"IaC allows infrastructure to be provisioned and managed using code instead of manual processes. Tools like Terraform and AWS CloudFormation define infrastructure declaratively. This improves repeatability, scalability, and version control.",Meta,DevOps,Situation Based,Infrastructure as Code (IaC)
59,What is the importance of container orchestration in DevOps?,"Container orchestration involves managing clusters of containers. Kubernetes and Docker Swarm automate container deployment, health checks, autoscaling, and service discovery across nodes.",Google,DevOps,Hard,Container Orchestration
60,What is the importance of ci/cd in DevOps?,"CI/CD stands for Continuous Integration and Continuous Deployment/Delivery. CI involves automatically building and testing code changes, while CD automates deploying code to production. Tools like Jenkins, GitHub Actions, GitLab CI, and CircleCI streamline this process.",Amazon,DevOps,Easy,CI/CD
61,What is the importance of build tools in DevOps?,"Build tools like Maven, Gradle, and Make automate compiling code, managing dependencies, and packaging artifacts. They integrate into CI pipelines to streamline delivery workflows.",Google,DevOps,Easy,Build Tools
62,What is the importance of configuration management in DevOps?,"Configuration management tools like Ansible, Puppet, and Chef automate the setup of software environments. They ensure consistency, reduce manual errors, and support rapid infrastructure deployment.",TCS,DevOps,Hard,Configuration Management
63,What is the importance of security in devops in DevOps?,"DevSecOps integrates security practices into DevOps workflows. This includes secrets management (Vault, AWS KMS), vulnerability scanning (Snyk, Aqua), and security as code through automated compliance checks.",Microsoft,DevOps,Hard,Security in DevOps
64,What is the importance of security in devops in DevOps?,"DevSecOps integrates security practices into DevOps workflows. This includes secrets management (Vault, AWS KMS), vulnerability scanning (Snyk, Aqua), and security as code through automated compliance checks.",Google,DevOps,Situation Based,Security in DevOps
65,What is the importance of disaster recovery & backups in DevOps?,"Disaster recovery plans include backup strategies, failover mechanisms, and RTO/RPO definitions. DevOps ensures regular backups (e.g., via S3, rsync), replication, and automated restoration procedures.",Amazon,DevOps,Medium,Disaster Recovery & Backups
66,What is the importance of ci/cd in DevOps?,"CI/CD stands for Continuous Integration and Continuous Deployment/Delivery. CI involves automatically building and testing code changes, while CD automates deploying code to production. Tools like Jenkins, GitHub Actions, GitLab CI, and CircleCI streamline this process.",TCS,DevOps,Hard,CI/CD
67,What is the importance of build tools in DevOps?,"Build tools like Maven, Gradle, and Make automate compiling code, managing dependencies, and packaging artifacts. They integrate into CI pipelines to streamline delivery workflows.",Meta,DevOps,Easy,Build Tools
68,What is the importance of cloud platforms in DevOps?,"Cloud platforms like AWS, Azure, and GCP offer scalable infrastructure and services. DevOps engineers use cloud tools for compute, storage, networking, CI/CD pipelines, and security management.",Amazon,DevOps,Hard,Cloud Platforms
69,What is the importance of docker in DevOps?,"Docker is a containerization platform that packages applications with dependencies into portable containers. It helps ensure consistency across development and production environments. Dockerfiles define how images are built, and Docker Compose manages multi-container setups.",Amazon,DevOps,Easy,Docker
70,What is the importance of cloud platforms in DevOps?,"Cloud platforms like AWS, Azure, and GCP offer scalable infrastructure and services. DevOps engineers use cloud tools for compute, storage, networking, CI/CD pipelines, and security management.",Meta,DevOps,Situation Based,Cloud Platforms
71,What is the importance of cloud platforms in DevOps?,"Cloud platforms like AWS, Azure, and GCP offer scalable infrastructure and services. DevOps engineers use cloud tools for compute, storage, networking, CI/CD pipelines, and security management.",Google,DevOps,Hard,Cloud Platforms
72,What is the importance of monitoring and logging in DevOps?,"Monitoring tracks system performance, while logging records system events and errors. Tools like Prometheus, Grafana, ELK stack (Elasticsearch, Logstash, Kibana), and Datadog help detect issues, alert teams, and support troubleshooting.",Google,DevOps,Hard,Monitoring and Logging
73,What is the importance of system design for devops in DevOps?,"System design in DevOps focuses on scalability, fault tolerance, high availability, and observability. Engineers must consider traffic patterns, SLAs, and recovery strategies when designing production systems.",TCS,DevOps,Medium,System Design for DevOps
74,What is the importance of kubernetes in DevOps?,"Kubernetes is a container orchestration platform that automates the deployment, scaling, and management of containerized applications. It supports rolling updates, self-healing, service discovery, and resource monitoring using YAML-based configurations.",Google,DevOps,Hard,Kubernetes
75,What is the importance of disaster recovery & backups in DevOps?,"Disaster recovery plans include backup strategies, failover mechanisms, and RTO/RPO definitions. DevOps ensures regular backups (e.g., via S3, rsync), replication, and automated restoration procedures.",Microsoft,DevOps,Hard,Disaster Recovery & Backups
76,What is the importance of build tools in DevOps?,"Build tools like Maven, Gradle, and Make automate compiling code, managing dependencies, and packaging artifacts. They integrate into CI pipelines to streamline delivery workflows.",Meta,DevOps,Situation Based,Build Tools
77,What is the importance of cloud platforms in DevOps?,"Cloud platforms like AWS, Azure, and GCP offer scalable infrastructure and services. DevOps engineers use cloud tools for compute, storage, networking, CI/CD pipelines, and security management.",TCS,DevOps,Situation Based,Cloud Platforms
78,What is the importance of security in devops in DevOps?,"DevSecOps integrates security practices into DevOps workflows. This includes secrets management (Vault, AWS KMS), vulnerability scanning (Snyk, Aqua), and security as code through automated compliance checks.",Amazon,DevOps,Hard,Security in DevOps
79,What is the importance of networking basics in DevOps?,"Networking is critical for understanding container communication, DNS resolution, ports, firewalls, and load balancing. Knowledge of TCP/IP, HTTP, NAT, and VPNs is essential for DevOps roles.",Infosys,DevOps,Situation Based,Networking Basics
80,What is the importance of networking basics in DevOps?,"Networking is critical for understanding container communication, DNS resolution, ports, firewalls, and load balancing. Knowledge of TCP/IP, HTTP, NAT, and VPNs is essential for DevOps roles.",Amazon,DevOps,Hard,Networking Basics
81,What is the importance of container orchestration in DevOps?,"Container orchestration involves managing clusters of containers. Kubernetes and Docker Swarm automate container deployment, health checks, autoscaling, and service discovery across nodes.",Microsoft,DevOps,Easy,Container Orchestration
82,What is the importance of cloud platforms in DevOps?,"Cloud platforms like AWS, Azure, and GCP offer scalable infrastructure and services. DevOps engineers use cloud tools for compute, storage, networking, CI/CD pipelines, and security management.",TCS,DevOps,Hard,Cloud Platforms
83,What is the importance of kubernetes in DevOps?,"Kubernetes is a container orchestration platform that automates the deployment, scaling, and management of containerized applications. It supports rolling updates, self-healing, service discovery, and resource monitoring using YAML-based configurations.",Infosys,DevOps,Medium,Kubernetes
84,What is the importance of kubernetes in DevOps?,"Kubernetes is a container orchestration platform that automates the deployment, scaling, and management of containerized applications. It supports rolling updates, self-healing, service discovery, and resource monitoring using YAML-based configurations.",Infosys,DevOps,Medium,Kubernetes
85,What is the importance of infrastructure as code (iac) in DevOps?,"IaC allows infrastructure to be provisioned and managed using code instead of manual processes. Tools like Terraform and AWS CloudFormation define infrastructure declaratively. This improves repeatability, scalability, and version control.",Infosys,DevOps,Hard,Infrastructure as Code (IaC)
86,What is the importance of build tools in DevOps?,"Build tools like Maven, Gradle, and Make automate compiling code, managing dependencies, and packaging artifacts. They integrate into CI pipelines to streamline delivery workflows.",Microsoft,DevOps,Hard,Build Tools
87,What is the importance of container orchestration in DevOps?,"Container orchestration involves managing clusters of containers. Kubernetes and Docker Swarm automate container deployment, health checks, autoscaling, and service discovery across nodes.",TCS,DevOps,Situation Based,Container Orchestration
88,What is the importance of docker in DevOps?,"Docker is a containerization platform that packages applications with dependencies into portable containers. It helps ensure consistency across development and production environments. Dockerfiles define how images are built, and Docker Compose manages multi-container setups.",Google,DevOps,Situation Based,Docker
89,What is the importance of cloud platforms in DevOps?,"Cloud platforms like AWS, Azure, and GCP offer scalable infrastructure and services. DevOps engineers use cloud tools for compute, storage, networking, CI/CD pipelines, and security management.",Microsoft,DevOps,Medium,Cloud Platforms
90,What is the importance of cloud platforms in DevOps?,"Cloud platforms like AWS, Azure, and GCP offer scalable infrastructure and services. DevOps engineers use cloud tools for compute, storage, networking, CI/CD pipelines, and security management.",Amazon,DevOps,Situation Based,Cloud Platforms
91,What is the importance of kubernetes in DevOps?,"Kubernetes is a container orchestration platform that automates the deployment, scaling, and management of containerized applications. It supports rolling updates, self-healing, service discovery, and resource monitoring using YAML-based configurations.",Google,DevOps,Easy,Kubernetes
92,What is the importance of kubernetes in DevOps?,"Kubernetes is a container orchestration platform that automates the deployment, scaling, and management of containerized applications. It supports rolling updates, self-healing, service discovery, and resource monitoring using YAML-based configurations.",Microsoft,DevOps,Medium,Kubernetes
93,What is the importance of networking basics in DevOps?,"Networking is critical for understanding container communication, DNS resolution, ports, firewalls, and load balancing. Knowledge of TCP/IP, HTTP, NAT, and VPNs is essential for DevOps roles.",Microsoft,DevOps,Easy,Networking Basics
94,What is the importance of cloud platforms in DevOps?,"Cloud platforms like AWS, Azure, and GCP offer scalable infrastructure and services. DevOps engineers use cloud tools for compute, storage, networking, CI/CD pipelines, and security management.",TCS,DevOps,Hard,Cloud Platforms
95,What is the importance of security in devops in DevOps?,"DevSecOps integrates security practices into DevOps workflows. This includes secrets management (Vault, AWS KMS), vulnerability scanning (Snyk, Aqua), and security as code through automated compliance checks.",Google,DevOps,Easy,Security in DevOps
96,What is the importance of ci/cd in DevOps?,"CI/CD stands for Continuous Integration and Continuous Deployment/Delivery. CI involves automatically building and testing code changes, while CD automates deploying code to production. Tools like Jenkins, GitHub Actions, GitLab CI, and CircleCI streamline this process.",Google,DevOps,Easy,CI/CD
97,What is the importance of git & version control in DevOps?,"Git is a distributed version control system that tracks code changes. It supports branching, merging, and collaboration. Platforms like GitHub, GitLab, and Bitbucket integrate with CI/CD pipelines.",Meta,DevOps,Medium,Git & Version Control
98,What is the importance of container orchestration in DevOps?,"Container orchestration involves managing clusters of containers. Kubernetes and Docker Swarm automate container deployment, health checks, autoscaling, and service discovery across nodes.",TCS,DevOps,Medium,Container Orchestration
99,What is the importance of system design for devops in DevOps?,"System design in DevOps focuses on scalability, fault tolerance, high availability, and observability. Engineers must consider traffic patterns, SLAs, and recovery strategies when designing production systems.",Google,DevOps,Hard,System Design for DevOps
100,What is the importance of docker in DevOps?,"Docker is a containerization platform that packages applications with dependencies into portable containers. It helps ensure consistency across development and production environments. Dockerfiles define how images are built, and Docker Compose manages multi-container setups.",TCS,DevOps,Easy,Docker
101,What is the importance of docker in DevOps?,"Docker is a containerization platform that packages applications with dependencies into portable containers. It helps ensure consistency across development and production environments. Dockerfiles define how images are built, and Docker Compose manages multi-container setups.",Meta,DevOps,Situation Based,Docker
102,What is the importance of infrastructure as code (iac) in DevOps?,"IaC allows infrastructure to be provisioned and managed using code instead of manual processes. Tools like Terraform and AWS CloudFormation define infrastructure declaratively. This improves repeatability, scalability, and version control.",Amazon,DevOps,Easy,Infrastructure as Code (IaC)
103,What is the importance of build tools in DevOps?,"Build tools like Maven, Gradle, and Make automate compiling code, managing dependencies, and packaging artifacts. They integrate into CI pipelines to streamline delivery workflows.",Meta,DevOps,Hard,Build Tools
104,What is the importance of build tools in DevOps?,"Build tools like Maven, Gradle, and Make automate compiling code, managing dependencies, and packaging artifacts. They integrate into CI pipelines to streamline delivery workflows.",TCS,DevOps,Medium,Build Tools
105,What is the importance of monitoring and logging in DevOps?,"Monitoring tracks system performance, while logging records system events and errors. Tools like Prometheus, Grafana, ELK stack (Elasticsearch, Logstash, Kibana), and Datadog help detect issues, alert teams, and support troubleshooting.",Infosys,DevOps,Hard,Monitoring and Logging
106,What is the importance of load balancing in DevOps?,"Load balancing distributes network traffic across multiple servers to ensure reliability and performance. Tools like NGINX, HAProxy, and AWS ELB support round-robin, IP-hash, and least-connections strategies.",Google,DevOps,Easy,Load Balancing
107,What is the importance of kubernetes in DevOps?,"Kubernetes is a container orchestration platform that automates the deployment, scaling, and management of containerized applications. It supports rolling updates, self-healing, service discovery, and resource monitoring using YAML-based configurations.",Infosys,DevOps,Hard,Kubernetes
108,What is the importance of git & version control in DevOps?,"Git is a distributed version control system that tracks code changes. It supports branching, merging, and collaboration. Platforms like GitHub, GitLab, and Bitbucket integrate with CI/CD pipelines.",Amazon,DevOps,Hard,Git & Version Control
109,What is the importance of docker in DevOps?,"Docker is a containerization platform that packages applications with dependencies into portable containers. It helps ensure consistency across development and production environments. Dockerfiles define how images are built, and Docker Compose manages multi-container setups.",Google,DevOps,Medium,Docker
110,What is the importance of git & version control in DevOps?,"Git is a distributed version control system that tracks code changes. It supports branching, merging, and collaboration. Platforms like GitHub, GitLab, and Bitbucket integrate with CI/CD pipelines.",Microsoft,DevOps,Situation Based,Git & Version Control
111,What is the importance of monitoring and logging in DevOps?,"Monitoring tracks system performance, while logging records system events and errors. Tools like Prometheus, Grafana, ELK stack (Elasticsearch, Logstash, Kibana), and Datadog help detect issues, alert teams, and support troubleshooting.",Google,DevOps,Medium,Monitoring and Logging
112,What is the importance of security in devops in DevOps?,"DevSecOps integrates security practices into DevOps workflows. This includes secrets management (Vault, AWS KMS), vulnerability scanning (Snyk, Aqua), and security as code through automated compliance checks.",Meta,DevOps,Hard,Security in DevOps
113,What is the importance of container orchestration in DevOps?,"Container orchestration involves managing clusters of containers. Kubernetes and Docker Swarm automate container deployment, health checks, autoscaling, and service discovery across nodes.",Meta,DevOps,Situation Based,Container Orchestration
114,What is the importance of monitoring and logging in DevOps?,"Monitoring tracks system performance, while logging records system events and errors. Tools like Prometheus, Grafana, ELK stack (Elasticsearch, Logstash, Kibana), and Datadog help detect issues, alert teams, and support troubleshooting.",Amazon,DevOps,Medium,Monitoring and Logging
115,What is the importance of security in devops in DevOps?,"DevSecOps integrates security practices into DevOps workflows. This includes secrets management (Vault, AWS KMS), vulnerability scanning (Snyk, Aqua), and security as code through automated compliance checks.",TCS,DevOps,Hard,Security in DevOps
116,What is the importance of monitoring and logging in DevOps?,"Monitoring tracks system performance, while logging records system events and errors. Tools like Prometheus, Grafana, ELK stack (Elasticsearch, Logstash, Kibana), and Datadog help detect issues, alert teams, and support troubleshooting.",TCS,DevOps,Medium,Monitoring and Logging
117,What is the importance of system design for devops in DevOps?,"System design in DevOps focuses on scalability, fault tolerance, high availability, and observability. Engineers must consider traffic patterns, SLAs, and recovery strategies when designing production systems.",Amazon,DevOps,Easy,System Design for DevOps
118,What is the importance of container orchestration in DevOps?,"Container orchestration involves managing clusters of containers. Kubernetes and Docker Swarm automate container deployment, health checks, autoscaling, and service discovery across nodes.",TCS,DevOps,Easy,Container Orchestration
119,What is the importance of networking basics in DevOps?,"Networking is critical for understanding container communication, DNS resolution, ports, firewalls, and load balancing. Knowledge of TCP/IP, HTTP, NAT, and VPNs is essential for DevOps roles.",Amazon,DevOps,Situation Based,Networking Basics
120,What is the importance of kubernetes in DevOps?,"Kubernetes is a container orchestration platform that automates the deployment, scaling, and management of containerized applications. It supports rolling updates, self-healing, service discovery, and resource monitoring using YAML-based configurations.",Infosys,DevOps,Hard,Kubernetes
121,What is the importance of git & version control in DevOps?,"Git is a distributed version control system that tracks code changes. It supports branching, merging, and collaboration. Platforms like GitHub, GitLab, and Bitbucket integrate with CI/CD pipelines.",Infosys,DevOps,Medium,Git & Version Control
