id,question,problem_description,tc1,tc2,tc3,tc4,tc5,company,difficulty,category,hint
18,Divide Two Integers,"Divide two integers without using multiplication, division, or modulo operators, handling 32-bit overflow. Use bit manipulation or repeated subtraction for O(log n) time, ensuring correct sign and overflow clamping.","dividend=10, divisor=3, output=3","dividend=7, divisor=-3, output=-2","dividend=0, divisor=1, output=0","dividend=1, divisor=1, output=1","dividend=-2147483648, divisor=-1, output=2147483647","Google, Amazon",Medium,"Math, Bit Manipulation",Use bit manipulation for division without using / or %.
19,Next Permutation,"Rearrange an array to form the next lexicographically greater permutation. Find the first decreasing element, swap with the smallest larger element, and reverse the suffix in O(n) time.","nums=[1,2,3], output=[1,3,2]","nums=[3,2,1], output=[1,2,3]","nums=[1,1,5], output=[1,5,1]","nums=[1], output=[1]","nums=[1,2], output=[2,1]","Google, Amazon",Medium,Array,Find the next lexicographically greater permutation.
20,Search in Rotated Sorted Array,"Search for a target in a rotated sorted array with no duplicates. Use modified binary search to find the pivot and target in O(log n) time, handling cases where the array is not rotated.","nums=[4,5,6,7,0,1,2], target=0, output=4","nums=[4,5,6,7,0,1,2], target=3, output=-1","nums=[1], target=0, output=-1","nums=[1,3], target=3, output=1","nums=[5,1,3], target=3, output=2","Google, Amazon, Facebook",Medium,"Array, Binary Search",Use modified binary search for rotated array.
21,Find First and Last Position of Element in Sorted Array,"Find the first and last positions of a target in a sorted array. Use two binary searches to locate the boundaries in O(log n) time, returning [-1, -1] if the target is not found.","nums=[5,7,7,8,8,10], target=8, output=[3,4]","nums=[5,7,7,8,8,10], target=6, output=[-1,-1]","nums=[], target=0, output=[-1,-1]","nums=[1], target=1, output=[0,0]","nums=[2,2], target=2, output=[0,1]","Google, Amazon, Microsoft",Medium,"Array, Binary Search",Use two binary searches for boundaries.
22,Search Insert Position,"Find the index where a target should be inserted in a sorted array to maintain order. Use binary search for O(log n) time, returning the correct index for existing or non-existing targets.","nums=[1,3,5,6], target=5, output=2","nums=[1,3,5,6], target=2, output=1","nums=[1,3,5,6], target=7, output=4","nums=[1,3,5,6], target=0, output=0","nums=[1], target=1, output=0","Google, Amazon",Easy,"Array, Binary Search",Use binary search to find insertion point.
23,Valid Sudoku,"Determine if a 9x9 Sudoku board is valid by checking rows, columns, and 3x3 sub-boxes for duplicates. Use hash sets for O(1) lookups, ensuring only digits 1-9 are valid and handling empty cells ('.').","board=[['5','3','.','.','7','.','.','.','.'],['6','.','.','1','9','5','.','.','.'],['.','9','8','.','.','.','.','6','.'],['8','.','.','.','6','.','.','.','3'],['4','.','.','8','.','3','.','.','1'],['7','.','.','.','2','.','.','.','6'],['.','6','.','.','.','.','2','8','.'],['.','.','.','4','1','9','.','.','5'],['.','.','.','.','8','.','.','7','9']], output=true","board=[['8','3','.','.','7','.','.','.','.'],['6','.','.','1','9','5','.','.','.'],['.','9','8','.','.','.','.','6','.'],['8','.','.','.','6','.','.','.','3'],['4','.','.','8','.','3','.','.','1'],['7','.','.','.','2','.','.','.','6'],['.','6','.','.','.','.','2','8','.'],['.','.','.','4','1','9','.','.','5'],['.','.','.','.','8','.','.','7','9']], output=false","board=[['1','.','.'],['.','2','.'],['.','.','3']], output=true","board=[['1','1','.'],['.','2','.'],['.','.','3']], output=false","board=[['.','.','.'],['.','.','.'],['.','.','.']], output=true","Google, Amazon",Medium,"Array, Hash Table","Check rows, columns, and 3x3 sub-boxes for duplicates."
24,Count and Say,"Generate the nth term of the count-and-say sequence, where each term describes the count of consecutive digits in the previous term. Iterate through the sequence, building each term in O(n * m) time, where m is the term length.","n=1, output='1'","n=2, output='11'","n=3, output='21'","n=4, output='1211'","n=5, output='111221'","Google, Amazon",Medium,String,Count consecutive digits to generate the next sequence.
25,Combination Sum,"Find all unique combinations of numbers in an array that sum to a target, with unlimited use of each number. Use backtracking to explore combinations in O(2^n) time, ensuring candidates are positive.","candidates=[2,3,6,7], target=7, output=[[2,2,3],[7]]","candidates=[2,3,5], target=8, output=[[2,2,2,2],[2,3,3],[3,5]]","candidates=[2], target=1, output=[]","candidates=[1], target=1, output=[[1]]","candidates=[1,2], target=4, output=[[1,1,1,1],[1,1,2],[2,2]]","Google, Amazon",Medium,Backtracking,Use backtracking to find all combinations summing to target.
26,Combination Sum II,"Find all unique combinations of numbers in an array that sum to a target, with each number used at most once. Use backtracking with sorting to avoid duplicates in O(2^n) time, handling empty or invalid cases.","candidates=[10,1,2,7,6,1,5], target=8, output=[[1,1,6],[1,2,5],[1,7],[2,6]]","candidates=[2,5,2,1,2], target=5, output=[[1,2,2],[5]]","candidates=[1], target=1, output=[[1]]","candidates=[1,2], target=4, output=[[2,2]]","candidates=[2], target=1, output=[]","Google, Amazon",Medium,Backtracking,Use backtracking with deduplication for unique combinations.
27,First Missing Positive,"Find the smallest missing positive integer in an unsorted array. Use the array as a hash table by marking indices in O(n) time and O(1) space, ignoring non-positive numbers.","nums=[1,2,0], output=3","nums=[3,4,-1,1], output=2","nums=[7,8,9,11,12], output=1","nums=[1], output=2","nums=[1,2,3], output=4","Google, Amazon, Microsoft",Hard,Array,Use array as a hash table by marking indices.
28,Trapping Rain Water,"Calculate the total water trapped between bars of given heights. Use two pointers or a stack to compute trapped water in O(n) time, ensuring water is bounded by taller bars.","height=[0,1,0,2,1,0,1,3,2,1,2,1], output=6","height=[4,2,0,3,2,5], output=9","height=[1], output=0","height=[1,2], output=0","height=[2,0,2], output=2","Google, Amazon",Hard,"Array, Two Pointers, Stack",Use two pointers or stack to compute trapped water.
29,Multiply Strings,"Multiply two large numbers represented as strings, returning the product as a string. Simulate digit-by-digit multiplication in O(n*m) time, handling edge cases like zero or single digits.","num1='2', num2='3', output='6'","num1='123', num2='456', output='56088'","num1='0', num2='0', output='0'","num1='9', num2='9', output='81'","num1='123', num2='0', output='0'","Google, Amazon",Medium,"String, Math",Simulate multiplication digit by digit.
30,Wildcard Matching,"Determine if a string matches a pattern with wildcards ('*' for any sequence, '?' for any character). Use dynamic programming for O(n*m) time, handling complex patterns and edge cases.","s='aa', p='a', output=false","s='aa', p='*', output=true","s='cb', p='?a', output=false","s='adceb', p='*a*b', output=true","s='acdcb', p='a*c?b', output=false","Google, Amazon",Hard,"Dynamic Programming, String",Use DP to match string with wildcard pattern.
31,Jump Game II,"Find the minimum number of jumps to reach the end of an array, where each element is the maximum jump length. Use a greedy approach to track the farthest reachable index in O(n) time.","nums=[2,3,1,1,4], output=2","nums=[2,3,0,1,4], output=2","nums=[1], output=0","nums=[1,2], output=1","nums=[2,1], output=1","Google, Amazon",Medium,"Array, Greedy",Use greedy approach to minimize jumps.
32,Permutations,"Generate all possible permutations of a distinct integer array. Use backtracking to swap elements and generate permutations in O(n!) time, handling single-element or empty arrays.","nums=[1,2,3], output=[[1,2,3],[1,3,2],[2,1,3],[2,3,1],[3,1,2],[3,2,1]]","nums=[0,1], output=[[0,1],[1,0]]","nums=[1], output=[[1]]","nums=[1,2], output=[[1,2],[2,1]]","nums=[1,2,3,4], output=(24 permutations)","Google, Amazon, Facebook",Medium,Backtracking,Use backtracking to generate all permutations.
33,Rotate Image,"Rotate a square matrix 90 degrees clockwise in-place. Use transpose (swap across diagonal) followed by row reversal in O(n^2) time and O(1) space, handling 1x1 or larger matrices.","matrix=[[1,2,3],[4,5,6],[7,8,9]], output=[[7,4,1],[8,5,2],[9,6,3]]","matrix=[[1]], output=[[1]]","matrix=[[1,2],[3,4]], output=[[3,1],[4,2]]","matrix=[[1,2,3,4],[5,6,7,8],[9,10,11,12],[13,14,15,16]], output=[[13,9,5,1],[14,10,6,2],[15,11,7,3],[16,12,8,4]]","matrix=[[1,2],[3,4]], output=[[3,1],[4,2]]","Google, Amazon",Medium,"Array, Matrix",Rotate matrix in-place using transpose and reverse.
34,Group Anagrams,"Group an array of strings into anagrams. Use a hash map with sorted characters or character frequency as keys in O(n*k*log k) time, where k is the maximum string length, handling empty or single strings.","strs=['eat','tea','tan','ate','nat','bat'], output=[['eat','tea','ate'],['tan','nat'],['bat']]","strs=[''], output=[['']]","strs=['a'], output=[['a']]","strs=['ab','ba'], output=[['ab','ba']]","strs=['abc','cba','bac'], output=[['abc','cba','bac']]","Google, Amazon",Medium,"String, Hash Table",Group strings by sorted characters or character frequency.
35,Maximum Subarray,"Find the contiguous subarray with the largest sum and return its sum. Use Kadane’s algorithm for O(n) time, handling negative numbers and single-element arrays.","nums=[-2,1,-3,4,-1,2,1,-5,4], output=6","nums=[1], output=1","nums=[-1], output=-1","nums=[-2,-1], output=-1","nums=[1,2,3], output=6","Google, Amazon, Facebook",Easy,"Array, Dynamic Programming",Use Kadane’s algorithm to find the maximum subarray sum.
36,Spiral Matrix,"Traverse a matrix in spiral order, returning elements in a single array. Use four pointers to track boundaries, moving inward in O(n*m) time, handling single-row or single-column matrices.","matrix=[[1,2,3],[4,5,6],[7,8,9]], output=[1,2,3,6,9,8,7,4,5]","matrix=[[1,2,3,4],[5,6,7,8],[9,10,11,12]], output=[1,2,3,4,8,12,11,10,9,5,6,7]","matrix=[[1]], output=[1]","matrix=[[1,2],[3,4]], output=[1,2,4,3]","matrix=[[1,2,3]], output=[1,2,3]","Google, Amazon, Microsoft",Medium,"Array, Matrix",Use four pointers to traverse the matrix in spiral order.
37,Jump Game,"Determine if the end of an array can be reached by jumping, where each element is the maximum jump length. Use a greedy approach to track the maximum reachable index in O(n) time.","nums=[2,3,1,1,4], output=true","nums=[3,2,1,0,4], output=false","nums=[1], output=true","nums=[0], output=true","nums=[2,0], output=true","Google, Amazon",Medium,"Array, Greedy",Track the maximum reachable index using a greedy approach.
38,Merge Intervals,"Merge overlapping intervals in a list of intervals. Sort by start time and merge in O(n log n) time, handling cases with no overlaps or single intervals.","intervals=[[1,3],[2,6],[8,10],[15,18]], output=[[1,6],[8,10],[15,18]]","intervals=[[1,4],[4,5]], output=[[1,5]]","intervals=[[1,4]], output=[[1,4]]","intervals=[[1,4],[0,4]], output=[[0,4]]","intervals=[[1,4],[2,3]], output=[[1,4]]","Google, Amazon, Facebook",Medium,"Array, Sorting",Sort intervals by start time and merge overlapping ones.
39,Insert Interval,"Insert a new interval into a list of non-overlapping intervals and merge overlaps. Insert and merge in O(n) time after sorting, handling cases where the new interval is disjoint.","intervals=[[1,3],[6,9]], newInterval=[2,5], output=[[1,5],[6,9]]","intervals=[[1,2],[3,5],[6,7],[8,10],[12,16]], newInterval=[4,8], output=[[1,2],[3,10],[12,16]]","intervals=[], newInterval=[5,7], output=[[5,7]]","intervals=[[1,5]], newInterval=[2,3], output=[[1,5]]","intervals=[[1,5]], newInterval=[6,8], output=[[1,5],[6,8]]","Google, Amazon",Medium,"Array, Intervals",Insert and merge the new interval with existing ones.
40,Spiral Matrix II,"Generate an n x n matrix filled with numbers 1 to n^2 in spiral order. Use four pointers to fill the matrix layer by layer in O(n^2) time, handling edge cases like n=0 or n=1.","n=3, output=[[1,2,3],[8,9,4],[7,6,5]]","n=1, output=[[1]]","n=2, output=[[1,2],[4,3]]","n=4, output=[[1,2,3,4],[12,13,14,5],[11,16,15,6],[10,9,8,7]]","n=0, output=[]","Google, Amazon",Medium,"Array, Matrix",Fill the matrix in a spiral pattern using four pointers.
41,Permutation Sequence,"Find the kth lexicographical permutation of numbers 1 to n. Use factorial-based indexing to construct the permutation in O(n) time, handling cases where k exceeds valid permutations.","n=3, k=3, output='213'","n=4, k=9, output='2314'","n=1, k=1, output='1'","n=2, k=1, output='12'","n=2, k=2, output='21'","Google, Amazon",Hard,"Math, Backtracking",Use factorial-based indexing to find the k-th permutation.
42,Rotate List,"Rotate a linked list to the right by k places. Find the new head by adjusting pointers in O(n) time, handling cases where k exceeds the list length or the list is empty.","head=[1,2,3,4,5], k=2, output=[4,5,1,2,3]","head=[0,1,2], k=4, output=[2,0,1]","head=[1], k=0, output=[1]","head=[1,2], k=1, output=[2,1]","head=[1,2,3], k=3, output=[1,2,3]","Google, Amazon",Medium,Linked List,Rotate the list by finding the new head after k nodes.
43,Unique Paths,"Count unique paths from the top-left to the bottom-right of an m x n grid, moving only right or down. Use dynamic programming for O(m*n) time, handling small grids like 1x1.","m=3, n=7, output=28","m=3, n=2, output=3","m=1, n=1, output=1","m=2, n=2, output=2","m=3, n=3, output=6","Google, Amazon",Medium,Dynamic Programming,Use DP to count paths from top-left to bottom-right.
44,Unique Paths II,"Count unique paths in an m x n grid with obstacles that block certain cells. Use dynamic programming to compute paths in O(m*n) time, handling cases with obstacles at the start or end.","obstacleGrid=[[0,0,0],[0,1,0],[0,0,0]], output=2","obstacleGrid=[[0,1],[0,0]], output=1","obstacleGrid=[[0]], output=1","obstacleGrid=[[1]], output=0","obstacleGrid=[[0,0],[1,1],[0,0]], output=0","Google, Amazon",Medium,Dynamic Programming,Use DP with obstacles blocking paths.
45,Minimum Path Sum,"Find the minimum path sum from top-left to bottom-right in an m x n grid, moving only right or down. Use dynamic programming for O(m*n) time and O(min(m,n)) space, handling single-cell grids.","grid=[[1,3,1],[1,5,1],[4,2,1]], output=7","grid=[[1,2],[1,1]], output=3","grid=[[1]], output=1","grid=[[1,2,3]], output=6","grid=[[1],[2],[3]], output=6","Google, Amazon",Medium,Dynamic Programming,Use DP to find the minimum path sum.
46,Plus One,"Increment a non-negative number represented as an array of digits by one. Handle carry-over from right to left in O(n) time, accommodating cases like [9,9] or single-digit arrays.","digits=[1,2,3], output=[1,2,4]","digits=[4,3,2,1], output=[4,3,2,2]","digits=[0], output=[1]","digits=[9], output=[1,0]","digits=[9,9], output=[1,0,0]","Google, Amazon",Easy,"Array, Math",Handle carry-over from right to left.
47,Add Binary,"Add two binary strings and return the result as a binary string. Simulate binary addition digit by digit with carry in O(n) time, handling leading zeros or unequal lengths.","a='11', b='1', output='100'","a='1010', b='1011', output='10101'","a='0', b='0', output='0'","a='1', b='0', output='1'","a='1111', b='1111', output='11110'","Google, Amazon",Easy,"String, Bit Manipulation",Simulate binary addition digit by digit.
48,Sqrt(x),"Compute the integer square root of a non-negative number without using built-in square root functions. Use binary search for O(log n) time, handling edge cases like x=0 or x=1.","x=4, output=2","x=8, output=2","x=0, output=0","x=1, output=1","x=16, output=4","Google, Amazon",Easy,"Math, Binary Search",Use binary search to find the square root.
49,Climbing Stairs,"Find the number of ways to climb n stairs, taking 1 or 2 steps at a time. Use dynamic programming for O(n) time and O(1) space, handling cases like n=0 or n=1.","n=2, output=2","n=3, output=3","n=1, output=1","n=4, output=5","n=0, output=1","Google, Amazon",Easy,Dynamic Programming,Use DP to compute ways to climb stairs.
50,Simplify Path,"Simplify a Unix-style file path by resolving '.' and '..' components. Use a stack to process path segments in O(n) time, handling edge cases like empty paths or multiple slashes.","path='/home/', output='/home'","path='/../', output='/'","path='/home//foo/', output='/home/foo'","path='/a/./b/../../c/', output='/c'","path='/a//b////c/d//././/..', output='/a/b/c'","Google, Amazon",Medium,"String, Stack",Use a stack to process path components.
51,Edit Distance,"Find the minimum number of operations (insert, delete, replace) to transform one word into another. Use a dynamic programming table for O(m*n) time, where m and n are word lengths.","word1='horse', word2='ros', output=3","word1='intention', word2='execution', output=5","word1='', word2='a', output=1","word1='abc', word2='abc', output=0","word1='cat', word2='cut', output=1","Google, Amazon",Hard,Dynamic Programming,Use a DP table for minimum operations.
52,Set Matrix Zeroes,"Set entire rows and columns to zero in a matrix if any element is zero, in-place. Use the first row and column as markers to track zeros in O(m*n) time and O(1) space, handling edge cases.","matrix=[[1,1,1],[1,0,1],[1,1,1]], output=[[1,0,1],[0,0,0],[1,0,1]]","matrix=[[0,1,2,0],[3,4,5,2],[1,3,1,5]], output=[[0,0,0,0],[0,4,5,0],[0,3,1,0]]","matrix=[[1]], output=[[1]]","matrix=[[0]], output=[[0]]","matrix=[[1,0],[0,1]], output=[[0,0],[0,0]]","Google, Amazon",Medium,"Array, Matrix",Use first row and column as markers for zeroes.
53,Search a 2D Matrix,"Search for a target in an m x n matrix where each row and column is sorted. Start from the top-right corner for O(m+n) time, leveraging sorted properties to eliminate rows or columns.","matrix=[[1,3,5,7],[10,11,16,20],[23,30,34,50]], target=3, output=true","matrix=[[1,3,5,7],[10,11,16,20],[23,30,34,50]], target=13, output=false","matrix=[[1]], target=1, output=true","matrix=[[1,2]], target=2, output=true","matrix=[[1],[3]], target=3, output=true","Google, Amazon, Microsoft",Medium,"Array, Binary Search",Treat matrix as a sorted array for binary search.
54,Sort Colors,"Sort an array of 0s, 1s, and 2s in-place (Dutch National Flag problem). Use three pointers to partition the array in O(n) time and O(1) space, handling single-element arrays.","nums=[2,0,2,1,1,0], output=[0,0,1,1,2,2]","nums=[2,0,1], output=[0,1,2]","nums=[0], output=[0]","nums=[1], output=[1]","nums=[2,2,0,0,1,1], output=[0,0,1,1,2,2]","Google, Amazon, Facebook",Medium,"Array, Two Pointers, Sorting",Use three pointers to partition colors.
55,Minimum Window Substring,"Find the shortest substring of a string containing all characters of a given string t. Use a sliding window with a hash map for O(n) time, handling cases where no valid substring exists.","s='ADOBECODEBANC', t='ABC', output='BANC'","s='a', t='a', output='a'","s='a', t='aa', output=''","s='ab', t='a', output='a'","s='ADOBEC', t='ABC', output='BEC'","Google, Amazon, Facebook",Hard,"String, Sliding Window",Use a sliding window to find the smallest substring containing all characters.
56,Combinations,"Generate all combinations of k numbers chosen from 1 to n. Use backtracking to build combinations in O(n choose k) time, handling cases like k=0 or k=n.","n=4, k=2, output=[[1,2],[1,3],[1,4],[2,3],[2,4],[3,4]]","n=1, k=1, output=[[1]]","n=2, k=1, output=[[1],[2]]","n=2, k=2, output=[[1,2]]","n=3, k=2, output=[[1,2],[1,3],[2,3]]","Google, Amazon",Medium,Backtracking,Use backtracking to generate all combinations.
57,Subsets,"Generate all possible subsets of a distinct integer array. Use backtracking or bit manipulation for O(2^n) time, including the empty subset and handling single-element arrays.","nums=[1,2,3], output=[[],[1],[2],[1,2],[3],[1,3],[2,3],[1,2,3]]","nums=[0], output=[[],[0]]","nums=[1,2], output=[[],[1],[2],[1,2]]","nums=[1], output=[[],[1]]","nums=[2,3], output=[[],[2],[3],[2,3]]","Google, Amazon, Facebook",Medium,"Backtracking, Bit Manipulation",Use backtracking or bit manipulation for all subsets.
58,Word Search,"Determine if a word exists in a 2D board by forming it from adjacent letters. Use DFS with backtracking for O(n*m*4^w) time, where w is the word length, marking visited cells to avoid reuse.","board=[['A','B','C','E'],['S','F','C','S'],['A','D','E','E']], word='ABCCED', output=true","board=[['A','B','C','E'],['S','F','C','S'],['A','D','E','E']], word='SEE', output=true","board=[['A','B','C','E'],['S','F','C','S'],['A','D','E','E']], word='ABCB', output=false","board=[['A']], word='A', output=true","board=[['A','B']], word='AB', output=true","Google, Amazon, Microsoft",Medium,"Backtracking, Matrix",Use DFS with backtracking to find the word.
59,Remove Duplicates from Sorted Array II,"Remove duplicates from a sorted array in-place, allowing at most two duplicates, and return the new length. Use two pointers for O(n) time, handling cases with no duplicates or single elements.","nums=[1,1,1,2,2,3], output=5","nums=[0,0,1,1,1,1,2,3,3], output=7","nums=[1,1], output=2","nums=[1], output=1","nums=[1,2,2], output=3","Google, Amazon",Medium,"Array, Two Pointers",Allow at most two duplicates using two pointers.
60,Search in Rotated Sorted Array II,"Search for a target in a rotated sorted array that may contain duplicates. Use modified binary search for O(n) worst-case time due to duplicates, handling edge cases like single elements.","nums=[2,5,6,0,0,1,2], target=0, output=true","nums=[2,5,6,0,0,1,2], target=3, output=false","nums=[1], target=1, output=true","nums=[1,1], target=1, output=true","nums=[1,3,1,1,1], target=3, output=true","Google, Amazon",Medium,"Array, Binary Search",Handle duplicates with modified binary search.
61,Remove Duplicates from Sorted List II,"Remove all nodes from a sorted linked list that have duplicates, keeping only unique values. Use pointers to skip duplicate nodes in O(n) time, handling cases with all duplicates.","head=[1,2,3,3,4,4,5], output=[1,2,5]","head=[1,1,1,2,3], output=[2,3]","head=[1,1], output=[]","head=[1,2,2], output=[1]","head=[1], output=[1]","Google, Amazon",Medium,Linked List,Remove all nodes with duplicates using pointers.
62,Remove Duplicates from Sorted List,"Remove duplicates from a sorted linked list, keeping one instance of each value. Traverse the list with a pointer, skipping duplicates in O(n) time, handling single-node or empty lists.","head=[1,1,2], output=[1,2]","head=[1,1,2,3,3], output=[1,2,3]","head=[1], output=[1]","head=[1,1,1], output=[1]","head=[1,2], output=[1,2]","Google, Amazon",Easy,Linked List,Skip duplicates in a sorted list using a pointer.
