id,question,answer,company,role,difficulty,category
15,What is the concept of bias-variance tradeoff in machine learning?,"The bias-variance tradeoff refers to the balance between underfitting (high bias) and overfitting (high variance). The goal is to find a model that generalizes well. Regularization, cross-validation, and ensemble methods help manage this tradeoff.",Meta,Machine Learning,Medium,Bias-Variance Tradeoff
16,What is the concept of data preprocessing in machine learning?,"Data preprocessing cleans and transforms raw data. It includes handling missing values, encoding categorical variables, scaling, and outlier removal. Well-preprocessed data leads to better model accuracy and robustness.",Google,Machine Learning,Medium,Data Preprocessing
17,What is the concept of bias-variance tradeoff in machine learning?,"The bias-variance tradeoff refers to the balance between underfitting (high bias) and overfitting (high variance). The goal is to find a model that generalizes well. Regularization, cross-validation, and ensemble methods help manage this tradeoff.",Google,Machine Learning,Hard,Bias-Variance Tradeoff
18,What is the concept of regularization in machine learning?,"Regularization adds a penalty to the loss function to reduce overfitting. L1 (Lasso) promotes sparsity, L2 (Ridge) shrinks coefficients smoothly. Regularization is essential in linear models, neural networks, and logistic regression.",TCS,Machine Learning,Medium,Regularization
19,What is the concept of supervised learning in machine learning?,"Supervised learning is a type of machine learning where models learn from labeled data. Algorithms like Linear Regression, Decision Trees, and SVM map input features (X) to output labels (Y). Key concepts include loss functions (MSE, Cross-Entropy), overfitting, and evaluation metrics like accuracy and F1-score.",Amazon,Machine Learning,Medium,Supervised Learning
20,What is the concept of bias-variance tradeoff in machine learning?,"The bias-variance tradeoff refers to the balance between underfitting (high bias) and overfitting (high variance). The goal is to find a model that generalizes well. Regularization, cross-validation, and ensemble methods help manage this tradeoff.",Amazon,Machine Learning,Hard,Bias-Variance Tradeoff
21,What is the concept of computer vision in machine learning?,"Computer Vision enables machines to interpret visual information. Tasks include classification, detection, and segmentation. CNNs (e.g., ResNet, VGG), YOLO, and Mask R-CNN are widely used architectures. Applications include facial recognition and autonomous driving.",Meta,Machine Learning,Medium,Computer Vision
22,What is the concept of reinforcement learning in machine learning?,"Reinforcement learning involves training an agent to make decisions by interacting with an environment. It maximizes cumulative reward using a policy. Techniques include Q-learning, SARSA, and policy gradients. RL is used in robotics, gaming, and real-time decision systems.",TCS,Machine Learning,Medium,Reinforcement Learning
23,What is the concept of model evaluation in machine learning?,"Model evaluation measures how well a model performs on unseen data. Common methods include cross-validation, confusion matrix, ROC-AUC, and precision-recall. It helps avoid overfitting and ensures the model generalizes well.",TCS,Machine Learning,Hard,Model Evaluation
24,What is the concept of model evaluation in machine learning?,"Model evaluation measures how well a model performs on unseen data. Common methods include cross-validation, confusion matrix, ROC-AUC, and precision-recall. It helps avoid overfitting and ensures the model generalizes well.",Microsoft,Machine Learning,Hard,Model Evaluation
25,What is the concept of time series analysis in machine learning?,"Time Series Analysis involves data indexed in time order. Techniques include ARIMA, exponential smoothing, and deep learning models like LSTMs. It's crucial for forecasting, anomaly detection, and financial modeling.",TCS,Machine Learning,Easy,Time Series Analysis
26,What is the concept of optimization in machine learning?,"Optimization in ML minimizes the loss function to improve model performance. Gradient Descent and its variants (Adam, RMSprop) are widely used. Hyperparameter tuning and learning rate schedules are key to convergence.",Infosys,Machine Learning,Easy,Optimization
27,What is the concept of supervised learning in machine learning?,"Supervised learning is a type of machine learning where models learn from labeled data. Algorithms like Linear Regression, Decision Trees, and SVM map input features (X) to output labels (Y). Key concepts include loss functions (MSE, Cross-Entropy), overfitting, and evaluation metrics like accuracy and F1-score.",TCS,Machine Learning,Hard,Supervised Learning
28,What is the concept of optimization in machine learning?,"Optimization in ML minimizes the loss function to improve model performance. Gradient Descent and its variants (Adam, RMSprop) are widely used. Hyperparameter tuning and learning rate schedules are key to convergence.",Amazon,Machine Learning,Easy,Optimization
29,What is the concept of reinforcement learning in machine learning?,"Reinforcement learning involves training an agent to make decisions by interacting with an environment. It maximizes cumulative reward using a policy. Techniques include Q-learning, SARSA, and policy gradients. RL is used in robotics, gaming, and real-time decision systems.",Google,Machine Learning,Medium,Reinforcement Learning
30,What is the concept of regularization in machine learning?,"Regularization adds a penalty to the loss function to reduce overfitting. L1 (Lasso) promotes sparsity, L2 (Ridge) shrinks coefficients smoothly. Regularization is essential in linear models, neural networks, and logistic regression.",Amazon,Machine Learning,Easy,Regularization
31,What is the concept of neural networks in machine learning?,Neural Networks are computational models inspired by the human brain. They consist of layers of interconnected nodes. Training involves forward propagation and backpropagation using optimizers like SGD or Adam. Variants include CNNs for images and RNNs for sequences.,Google,Machine Learning,Medium,Neural Networks
32,What is the concept of neural networks in machine learning?,Neural Networks are computational models inspired by the human brain. They consist of layers of interconnected nodes. Training involves forward propagation and backpropagation using optimizers like SGD or Adam. Variants include CNNs for images and RNNs for sequences.,Amazon,Machine Learning,Hard,Neural Networks
33,What is the concept of model evaluation in machine learning?,"Model evaluation measures how well a model performs on unseen data. Common methods include cross-validation, confusion matrix, ROC-AUC, and precision-recall. It helps avoid overfitting and ensures the model generalizes well.",Google,Machine Learning,Easy,Model Evaluation
34,What is the concept of bias-variance tradeoff in machine learning?,"The bias-variance tradeoff refers to the balance between underfitting (high bias) and overfitting (high variance). The goal is to find a model that generalizes well. Regularization, cross-validation, and ensemble methods help manage this tradeoff.",TCS,Machine Learning,Medium,Bias-Variance Tradeoff
35,What is the concept of regularization in machine learning?,"Regularization adds a penalty to the loss function to reduce overfitting. L1 (Lasso) promotes sparsity, L2 (Ridge) shrinks coefficients smoothly. Regularization is essential in linear models, neural networks, and logistic regression.",Infosys,Machine Learning,Medium,Regularization
36,What is the concept of model deployment in machine learning?,"Model deployment puts ML models into production. Steps include model serialization (pickle, joblib), API deployment (Flask, FastAPI), and monitoring. MLOps ensures scalability, reproducibility, and continuous integration.",Infosys,Machine Learning,Hard,Model Deployment
37,What is the concept of bias-variance tradeoff in machine learning?,"The bias-variance tradeoff refers to the balance between underfitting (high bias) and overfitting (high variance). The goal is to find a model that generalizes well. Regularization, cross-validation, and ensemble methods help manage this tradeoff.",Microsoft,Machine Learning,Easy,Bias-Variance Tradeoff
38,What is the concept of computer vision in machine learning?,"Computer Vision enables machines to interpret visual information. Tasks include classification, detection, and segmentation. CNNs (e.g., ResNet, VGG), YOLO, and Mask R-CNN are widely used architectures. Applications include facial recognition and autonomous driving.",Google,Machine Learning,Easy,Computer Vision
39,What is the concept of feature engineering in machine learning?,"Feature engineering improves model performance by creating relevant features from raw data. Techniques include encoding categorical data, normalization, scaling, binning, and feature selection. It often determines the success of machine learning models.",Infosys,Machine Learning,Medium,Feature Engineering
40,What is the concept of bias-variance tradeoff in machine learning?,"The bias-variance tradeoff refers to the balance between underfitting (high bias) and overfitting (high variance). The goal is to find a model that generalizes well. Regularization, cross-validation, and ensemble methods help manage this tradeoff.",Google,Machine Learning,Medium,Bias-Variance Tradeoff
41,What is the concept of supervised learning in machine learning?,"Supervised learning is a type of machine learning where models learn from labeled data. Algorithms like Linear Regression, Decision Trees, and SVM map input features (X) to output labels (Y). Key concepts include loss functions (MSE, Cross-Entropy), overfitting, and evaluation metrics like accuracy and F1-score.",TCS,Machine Learning,Hard,Supervised Learning
42,What is the concept of dimensionality reduction in machine learning?,"Dimensionality reduction reduces the number of input features while retaining the essential information. PCA transforms features into orthogonal components, while LDA and t-SNE help in visualization and noise reduction. It prevents overfitting and improves model speed.",Infosys,Machine Learning,Hard,Dimensionality Reduction
43,What is the concept of feature engineering in machine learning?,"Feature engineering improves model performance by creating relevant features from raw data. Techniques include encoding categorical data, normalization, scaling, binning, and feature selection. It often determines the success of machine learning models.",Google,Machine Learning,Medium,Feature Engineering
44,What is the concept of reinforcement learning in machine learning?,"Reinforcement learning involves training an agent to make decisions by interacting with an environment. It maximizes cumulative reward using a policy. Techniques include Q-learning, SARSA, and policy gradients. RL is used in robotics, gaming, and real-time decision systems.",Microsoft,Machine Learning,Hard,Reinforcement Learning
45,What is the concept of time series analysis in machine learning?,"Time Series Analysis involves data indexed in time order. Techniques include ARIMA, exponential smoothing, and deep learning models like LSTMs. It's crucial for forecasting, anomaly detection, and financial modeling.",Google,Machine Learning,Medium,Time Series Analysis
46,What is the concept of computer vision in machine learning?,"Computer Vision enables machines to interpret visual information. Tasks include classification, detection, and segmentation. CNNs (e.g., ResNet, VGG), YOLO, and Mask R-CNN are widely used architectures. Applications include facial recognition and autonomous driving.",Amazon,Machine Learning,Medium,Computer Vision
47,What is the concept of dimensionality reduction in machine learning?,"Dimensionality reduction reduces the number of input features while retaining the essential information. PCA transforms features into orthogonal components, while LDA and t-SNE help in visualization and noise reduction. It prevents overfitting and improves model speed.",Amazon,Machine Learning,Easy,Dimensionality Reduction
48,What is the concept of model evaluation in machine learning?,"Model evaluation measures how well a model performs on unseen data. Common methods include cross-validation, confusion matrix, ROC-AUC, and precision-recall. It helps avoid overfitting and ensures the model generalizes well.",Meta,Machine Learning,Medium,Model Evaluation
49,What is the concept of model evaluation in machine learning?,"Model evaluation measures how well a model performs on unseen data. Common methods include cross-validation, confusion matrix, ROC-AUC, and precision-recall. It helps avoid overfitting and ensures the model generalizes well.",Infosys,Machine Learning,Hard,Model Evaluation
50,What is the concept of model deployment in machine learning?,"Model deployment puts ML models into production. Steps include model serialization (pickle, joblib), API deployment (Flask, FastAPI), and monitoring. MLOps ensures scalability, reproducibility, and continuous integration.",Infosys,Machine Learning,Medium,Model Deployment
51,What is the concept of time series analysis in machine learning?,"Time Series Analysis involves data indexed in time order. Techniques include ARIMA, exponential smoothing, and deep learning models like LSTMs. It's crucial for forecasting, anomaly detection, and financial modeling.",Meta,Machine Learning,Medium,Time Series Analysis
52,What is the concept of neural networks in machine learning?,Neural Networks are computational models inspired by the human brain. They consist of layers of interconnected nodes. Training involves forward propagation and backpropagation using optimizers like SGD or Adam. Variants include CNNs for images and RNNs for sequences.,Meta,Machine Learning,Medium,Neural Networks
53,What is the concept of supervised learning in machine learning?,"Supervised learning is a type of machine learning where models learn from labeled data. Algorithms like Linear Regression, Decision Trees, and SVM map input features (X) to output labels (Y). Key concepts include loss functions (MSE, Cross-Entropy), overfitting, and evaluation metrics like accuracy and F1-score.",TCS,Machine Learning,Easy,Supervised Learning
54,What is the concept of bias-variance tradeoff in machine learning?,"The bias-variance tradeoff refers to the balance between underfitting (high bias) and overfitting (high variance). The goal is to find a model that generalizes well. Regularization, cross-validation, and ensemble methods help manage this tradeoff.",Amazon,Machine Learning,Hard,Bias-Variance Tradeoff
55,What is the concept of regularization in machine learning?,"Regularization adds a penalty to the loss function to reduce overfitting. L1 (Lasso) promotes sparsity, L2 (Ridge) shrinks coefficients smoothly. Regularization is essential in linear models, neural networks, and logistic regression.",Amazon,Machine Learning,Medium,Regularization
56,What is the concept of feature engineering in machine learning?,"Feature engineering improves model performance by creating relevant features from raw data. Techniques include encoding categorical data, normalization, scaling, binning, and feature selection. It often determines the success of machine learning models.",Google,Machine Learning,Hard,Feature Engineering
57,What is the concept of data preprocessing in machine learning?,"Data preprocessing cleans and transforms raw data. It includes handling missing values, encoding categorical variables, scaling, and outlier removal. Well-preprocessed data leads to better model accuracy and robustness.",Amazon,Machine Learning,Medium,Data Preprocessing
58,What is the concept of natural language processing in machine learning?,"NLP focuses on enabling machines to understand human language. Core tasks include sentiment analysis, named entity recognition, and machine translation. Key techniques include tokenization, TF-IDF, Word2Vec, and Transformer models like BERT and GPT.",Amazon,Machine Learning,Medium,Natural Language Processing
59,What is the concept of data preprocessing in machine learning?,"Data preprocessing cleans and transforms raw data. It includes handling missing values, encoding categorical variables, scaling, and outlier removal. Well-preprocessed data leads to better model accuracy and robustness.",TCS,Machine Learning,Hard,Data Preprocessing
60,What is the concept of data preprocessing in machine learning?,"Data preprocessing cleans and transforms raw data. It includes handling missing values, encoding categorical variables, scaling, and outlier removal. Well-preprocessed data leads to better model accuracy and robustness.",Google,Machine Learning,Medium,Data Preprocessing
61,What is the concept of unsupervised learning in machine learning?,"Unsupervised learning handles data without labels. It finds patterns or groupings in the data. Key techniques include K-Means clustering, Hierarchical clustering, and dimensionality reduction using PCA or t-SNE. Applications include anomaly detection, customer segmentation, and data compression.",Google,Machine Learning,Hard,Unsupervised Learning
62,What is the concept of unsupervised learning in machine learning?,"Unsupervised learning handles data without labels. It finds patterns or groupings in the data. Key techniques include K-Means clustering, Hierarchical clustering, and dimensionality reduction using PCA or t-SNE. Applications include anomaly detection, customer segmentation, and data compression.",TCS,Machine Learning,Medium,Unsupervised Learning
63,What is the concept of feature engineering in machine learning?,"Feature engineering improves model performance by creating relevant features from raw data. Techniques include encoding categorical data, normalization, scaling, binning, and feature selection. It often determines the success of machine learning models.",Google,Machine Learning,Hard,Feature Engineering
64,What is the concept of feature engineering in machine learning?,"Feature engineering improves model performance by creating relevant features from raw data. Techniques include encoding categorical data, normalization, scaling, binning, and feature selection. It often determines the success of machine learning models.",Infosys,Machine Learning,Medium,Feature Engineering
65,What is the concept of dimensionality reduction in machine learning?,"Dimensionality reduction reduces the number of input features while retaining the essential information. PCA transforms features into orthogonal components, while LDA and t-SNE help in visualization and noise reduction. It prevents overfitting and improves model speed.",Amazon,Machine Learning,Medium,Dimensionality Reduction
66,What is the concept of bias-variance tradeoff in machine learning?,"The bias-variance tradeoff refers to the balance between underfitting (high bias) and overfitting (high variance). The goal is to find a model that generalizes well. Regularization, cross-validation, and ensemble methods help manage this tradeoff.",Meta,Machine Learning,Hard,Bias-Variance Tradeoff
67,What is the concept of natural language processing in machine learning?,"NLP focuses on enabling machines to understand human language. Core tasks include sentiment analysis, named entity recognition, and machine translation. Key techniques include tokenization, TF-IDF, Word2Vec, and Transformer models like BERT and GPT.",TCS,Machine Learning,Medium,Natural Language Processing
68,What is the concept of unsupervised learning in machine learning?,"Unsupervised learning handles data without labels. It finds patterns or groupings in the data. Key techniques include K-Means clustering, Hierarchical clustering, and dimensionality reduction using PCA or t-SNE. Applications include anomaly detection, customer segmentation, and data compression.",Google,Machine Learning,Medium,Unsupervised Learning
69,What is the concept of bias-variance tradeoff in machine learning?,"The bias-variance tradeoff refers to the balance between underfitting (high bias) and overfitting (high variance). The goal is to find a model that generalizes well. Regularization, cross-validation, and ensemble methods help manage this tradeoff.",Amazon,Machine Learning,Hard,Bias-Variance Tradeoff
70,What is the concept of neural networks in machine learning?,Neural Networks are computational models inspired by the human brain. They consist of layers of interconnected nodes. Training involves forward propagation and backpropagation using optimizers like SGD or Adam. Variants include CNNs for images and RNNs for sequences.,Microsoft,Machine Learning,Medium,Neural Networks
71,What is the concept of bias-variance tradeoff in machine learning?,"The bias-variance tradeoff refers to the balance between underfitting (high bias) and overfitting (high variance). The goal is to find a model that generalizes well. Regularization, cross-validation, and ensemble methods help manage this tradeoff.",Amazon,Machine Learning,Easy,Bias-Variance Tradeoff
72,What is the concept of dimensionality reduction in machine learning?,"Dimensionality reduction reduces the number of input features while retaining the essential information. PCA transforms features into orthogonal components, while LDA and t-SNE help in visualization and noise reduction. It prevents overfitting and improves model speed.",TCS,Machine Learning,Hard,Dimensionality Reduction
73,What is the concept of neural networks in machine learning?,Neural Networks are computational models inspired by the human brain. They consist of layers of interconnected nodes. Training involves forward propagation and backpropagation using optimizers like SGD or Adam. Variants include CNNs for images and RNNs for sequences.,Google,Machine Learning,Hard,Neural Networks
74,What is the concept of neural networks in machine learning?,Neural Networks are computational models inspired by the human brain. They consist of layers of interconnected nodes. Training involves forward propagation and backpropagation using optimizers like SGD or Adam. Variants include CNNs for images and RNNs for sequences.,TCS,Machine Learning,Hard,Neural Networks
75,What is the concept of neural networks in machine learning?,Neural Networks are computational models inspired by the human brain. They consist of layers of interconnected nodes. Training involves forward propagation and backpropagation using optimizers like SGD or Adam. Variants include CNNs for images and RNNs for sequences.,Meta,Machine Learning,Hard,Neural Networks
76,What is the concept of natural language processing in machine learning?,"NLP focuses on enabling machines to understand human language. Core tasks include sentiment analysis, named entity recognition, and machine translation. Key techniques include tokenization, TF-IDF, Word2Vec, and Transformer models like BERT and GPT.",Microsoft,Machine Learning,Hard,Natural Language Processing
77,What is the concept of reinforcement learning in machine learning?,"Reinforcement learning involves training an agent to make decisions by interacting with an environment. It maximizes cumulative reward using a policy. Techniques include Q-learning, SARSA, and policy gradients. RL is used in robotics, gaming, and real-time decision systems.",Meta,Machine Learning,Easy,Reinforcement Learning
78,What is the concept of supervised learning in machine learning?,"Supervised learning is a type of machine learning where models learn from labeled data. Algorithms like Linear Regression, Decision Trees, and SVM map input features (X) to output labels (Y). Key concepts include loss functions (MSE, Cross-Entropy), overfitting, and evaluation metrics like accuracy and F1-score.",TCS,Machine Learning,Easy,Supervised Learning
79,What is the concept of time series analysis in machine learning?,"Time Series Analysis involves data indexed in time order. Techniques include ARIMA, exponential smoothing, and deep learning models like LSTMs. It's crucial for forecasting, anomaly detection, and financial modeling.",Infosys,Machine Learning,Easy,Time Series Analysis
80,What is the concept of time series analysis in machine learning?,"Time Series Analysis involves data indexed in time order. Techniques include ARIMA, exponential smoothing, and deep learning models like LSTMs. It's crucial for forecasting, anomaly detection, and financial modeling.",Google,Machine Learning,Easy,Time Series Analysis
81,What is the concept of neural networks in machine learning?,Neural Networks are computational models inspired by the human brain. They consist of layers of interconnected nodes. Training involves forward propagation and backpropagation using optimizers like SGD or Adam. Variants include CNNs for images and RNNs for sequences.,Meta,Machine Learning,Easy,Neural Networks
82,What is the concept of regularization in machine learning?,"Regularization adds a penalty to the loss function to reduce overfitting. L1 (Lasso) promotes sparsity, L2 (Ridge) shrinks coefficients smoothly. Regularization is essential in linear models, neural networks, and logistic regression.",Amazon,Machine Learning,Hard,Regularization
83,What is the concept of reinforcement learning in machine learning?,"Reinforcement learning involves training an agent to make decisions by interacting with an environment. It maximizes cumulative reward using a policy. Techniques include Q-learning, SARSA, and policy gradients. RL is used in robotics, gaming, and real-time decision systems.",Infosys,Machine Learning,Medium,Reinforcement Learning
84,What is the concept of reinforcement learning in machine learning?,"Reinforcement learning involves training an agent to make decisions by interacting with an environment. It maximizes cumulative reward using a policy. Techniques include Q-learning, SARSA, and policy gradients. RL is used in robotics, gaming, and real-time decision systems.",Microsoft,Machine Learning,Easy,Reinforcement Learning
85,What is the concept of unsupervised learning in machine learning?,"Unsupervised learning handles data without labels. It finds patterns or groupings in the data. Key techniques include K-Means clustering, Hierarchical clustering, and dimensionality reduction using PCA or t-SNE. Applications include anomaly detection, customer segmentation, and data compression.",TCS,Machine Learning,Medium,Unsupervised Learning
86,What is the concept of natural language processing in machine learning?,"NLP focuses on enabling machines to understand human language. Core tasks include sentiment analysis, named entity recognition, and machine translation. Key techniques include tokenization, TF-IDF, Word2Vec, and Transformer models like BERT and GPT.",TCS,Machine Learning,Medium,Natural Language Processing
87,What is the concept of computer vision in machine learning?,"Computer Vision enables machines to interpret visual information. Tasks include classification, detection, and segmentation. CNNs (e.g., ResNet, VGG), YOLO, and Mask R-CNN are widely used architectures. Applications include facial recognition and autonomous driving.",Microsoft,Machine Learning,Easy,Computer Vision
88,What is the concept of unsupervised learning in machine learning?,"Unsupervised learning handles data without labels. It finds patterns or groupings in the data. Key techniques include K-Means clustering, Hierarchical clustering, and dimensionality reduction using PCA or t-SNE. Applications include anomaly detection, customer segmentation, and data compression.",TCS,Machine Learning,Easy,Unsupervised Learning
89,What is the concept of feature engineering in machine learning?,"Feature engineering improves model performance by creating relevant features from raw data. Techniques include encoding categorical data, normalization, scaling, binning, and feature selection. It often determines the success of machine learning models.",Meta,Machine Learning,Hard,Feature Engineering
90,What is the concept of reinforcement learning in machine learning?,"Reinforcement learning involves training an agent to make decisions by interacting with an environment. It maximizes cumulative reward using a policy. Techniques include Q-learning, SARSA, and policy gradients. RL is used in robotics, gaming, and real-time decision systems.",Microsoft,Machine Learning,Hard,Reinforcement Learning
91,What is the concept of computer vision in machine learning?,"Computer Vision enables machines to interpret visual information. Tasks include classification, detection, and segmentation. CNNs (e.g., ResNet, VGG), YOLO, and Mask R-CNN are widely used architectures. Applications include facial recognition and autonomous driving.",TCS,Machine Learning,Medium,Computer Vision
92,What is the concept of natural language processing in machine learning?,"NLP focuses on enabling machines to understand human language. Core tasks include sentiment analysis, named entity recognition, and machine translation. Key techniques include tokenization, TF-IDF, Word2Vec, and Transformer models like BERT and GPT.",Google,Machine Learning,Medium,Natural Language Processing
93,What is the concept of computer vision in machine learning?,"Computer Vision enables machines to interpret visual information. Tasks include classification, detection, and segmentation. CNNs (e.g., ResNet, VGG), YOLO, and Mask R-CNN are widely used architectures. Applications include facial recognition and autonomous driving.",Infosys,Machine Learning,Hard,Computer Vision
94,What is the concept of optimization in machine learning?,"Optimization in ML minimizes the loss function to improve model performance. Gradient Descent and its variants (Adam, RMSprop) are widely used. Hyperparameter tuning and learning rate schedules are key to convergence.",Google,Machine Learning,Hard,Optimization
95,What is the concept of model evaluation in machine learning?,"Model evaluation measures how well a model performs on unseen data. Common methods include cross-validation, confusion matrix, ROC-AUC, and precision-recall. It helps avoid overfitting and ensures the model generalizes well.",Amazon,Machine Learning,Medium,Model Evaluation
96,What is the concept of dimensionality reduction in machine learning?,"Dimensionality reduction reduces the number of input features while retaining the essential information. PCA transforms features into orthogonal components, while LDA and t-SNE help in visualization and noise reduction. It prevents overfitting and improves model speed.",TCS,Machine Learning,Hard,Dimensionality Reduction
97,What is the concept of computer vision in machine learning?,"Computer Vision enables machines to interpret visual information. Tasks include classification, detection, and segmentation. CNNs (e.g., ResNet, VGG), YOLO, and Mask R-CNN are widely used architectures. Applications include facial recognition and autonomous driving.",Amazon,Machine Learning,Hard,Computer Vision
98,What is the concept of bias-variance tradeoff in machine learning?,"The bias-variance tradeoff refers to the balance between underfitting (high bias) and overfitting (high variance). The goal is to find a model that generalizes well. Regularization, cross-validation, and ensemble methods help manage this tradeoff.",Google,Machine Learning,Medium,Bias-Variance Tradeoff
99,What is the concept of model evaluation in machine learning?,"Model evaluation measures how well a model performs on unseen data. Common methods include cross-validation, confusion matrix, ROC-AUC, and precision-recall. It helps avoid overfitting and ensures the model generalizes well.",Google,Machine Learning,Medium,Model Evaluation
100,What is the concept of optimization in machine learning?,"Optimization in ML minimizes the loss function to improve model performance. Gradient Descent and its variants (Adam, RMSprop) are widely used. Hyperparameter tuning and learning rate schedules are key to convergence.",Infosys,Machine Learning,Easy,Optimization
101,What is the concept of unsupervised learning in machine learning?,"Unsupervised learning handles data without labels. It finds patterns or groupings in the data. Key techniques include K-Means clustering, Hierarchical clustering, and dimensionality reduction using PCA or t-SNE. Applications include anomaly detection, customer segmentation, and data compression.",Microsoft,Machine Learning,Hard,Unsupervised Learning
102,What is the concept of model evaluation in machine learning?,"Model evaluation measures how well a model performs on unseen data. Common methods include cross-validation, confusion matrix, ROC-AUC, and precision-recall. It helps avoid overfitting and ensures the model generalizes well.",Infosys,Machine Learning,Hard,Model Evaluation
103,What is the concept of feature engineering in machine learning?,"Feature engineering improves model performance by creating relevant features from raw data. Techniques include encoding categorical data, normalization, scaling, binning, and feature selection. It often determines the success of machine learning models.",Google,Machine Learning,Easy,Feature Engineering
104,What is the concept of computer vision in machine learning?,"Computer Vision enables machines to interpret visual information. Tasks include classification, detection, and segmentation. CNNs (e.g., ResNet, VGG), YOLO, and Mask R-CNN are widely used architectures. Applications include facial recognition and autonomous driving.",Meta,Machine Learning,Easy,Computer Vision
105,What is the concept of unsupervised learning in machine learning?,"Unsupervised learning handles data without labels. It finds patterns or groupings in the data. Key techniques include K-Means clustering, Hierarchical clustering, and dimensionality reduction using PCA or t-SNE. Applications include anomaly detection, customer segmentation, and data compression.",Amazon,Machine Learning,Hard,Unsupervised Learning
106,What is the concept of feature engineering in machine learning?,"Feature engineering improves model performance by creating relevant features from raw data. Techniques include encoding categorical data, normalization, scaling, binning, and feature selection. It often determines the success of machine learning models.",TCS,Machine Learning,Hard,Feature Engineering
107,What is the concept of regularization in machine learning?,"Regularization adds a penalty to the loss function to reduce overfitting. L1 (Lasso) promotes sparsity, L2 (Ridge) shrinks coefficients smoothly. Regularization is essential in linear models, neural networks, and logistic regression.",Infosys,Machine Learning,Medium,Regularization
